sven storm hammer,sven_storm_bolt
anti-mage mana break,antimage_mana_break
anti-mage blink,antimage_blink
anti-mage spell shield,antimage_spell_shield
anti-mage mana void,antimage_mana_void
shadow fiend shadowraze,nevermore_shadowraze1
shadow fiend necromastery,nevermore_necromastery
shadow fiend dark lord,nevermore_dark_lord
shadow fiend requiem,nevermore_requiem
shadow fiend requiem of souls,nevermore_requiem
zeus arc lightning,zuus_arc_lightning
zeus lightning bolt,zuus_lightning_bolt
zeus static field,zuus_static_field
zeus thundergods wrath,zuus_thundergods_wrath
clockwerk battery assault,rattletrap_battery_assault
clockwerk power cogs,rattletrap_power_cogs
clockwerk rocket flare,rattletrap_rocket_flare
clockwerk hookshot,rattletrap_hookshot
lifestealer rage,life_stealer_rage
lifestealer feast,life_stealer_feast
lifestealer open wounds,life_stealer_open_wounds
lifestealer infest,life_stealer_infest
nature's prophet sprout,furion_sprout
nature's prophet teleportation,furion_teleportation
nature's prophet force of nature,furion_force_of_nature
nature's prophet wrath of nature,furion_wrath_of_nature
treant protector natures guise,treant_natures_guise
treant protector leech seed,treant_leech_seed
treant protector living armor,treant_living_armor
treant protector overgrowth,treant_overgrowth
centaur warrunner hoof stomp,centaur_hoof_stomp
centaur warrunner double edge,centaur_double_edge
centaur warrunner return,centaur_return
centaur warrunner stampede,centaur_stampede
magnus shockwave,magnataur_shockwave
magnus empower,magnataur_empower
magnus skewer,magnataur_skewer
magnus reverse polarity,magnataur_reverse_polarity
timbersaw whirling death,shredder_whirling_death
timbersaw timber chain,shredder_timber_chain
timbersaw reactive armor,shredder_reactive_armor
timbersaw chakram,shredder_chakram
sand king burrowstrike,sandking_burrowstrike
sand king sand storm,sandking_sand_storm
sand king caustic finale,sandking_caustic_finale
sand king epicenter,sandking_epicenter
kunkka ghost ship,kunkka_ghostship
doom devour,doom_bringer_devour
doom scorched earth,doom_bringer_scorched_earth
doom lvl death,doom_bringer_lvl_death
doom doom,doom_bringer_doom
lycanthrope summon wolves,lycan_summon_wolves
lycanthrope howl,lycan_howl
lycanthrope feral impulse,lycan_feral_impulse
lycanthrope shapeshift,lycan_shapeshift
vengeful spirit magic missile,vengefulspirit_magic_missile
vengeful spirit wave of terror,vengefulspirit_wave_of_terror
vengeful spirit command aura,vengefulspirit_command_aura
vengeful spirit nether swap,vengefulspirit_nether_swap
templar assassin psionic trap,templar_assassin_trap
queen of pain shadow strike,queenofpain_shadow_strike
queen of pain blink,queenofpain_blink
queen of pain scream of pain,queenofpain_scream_of_pain
queen of pain sonic wave,queenofpain_sonic_wave
outworld devourer arcane orb,obsidian_destroyer_arcane_orb
outworld devourer essence aura,obsidian_destroyer_essence_aura
outworld devourer astral imprisonment,obsidian_destroyer_astral_imprisonment
outworld devourer sanity eclipse,obsidian_destroyer_sanity_eclipse
